3acd7a,127.0.0.1,GET,http://localhost:8080/_fragment?_path=_format%3Dhtml%26_locale%3Den%26_controller%3DPetroPackMenuBundle%253AMenu%253Aitems,1491669292,fcb307,200
900cbf,127.0.0.1,GET,http://localhost:8080/_fragment?_path=_format%3Dhtml%26_locale%3Den%26_controller%3DPetroPackVentaBundle%253AVenta%253AitemForm,1491669292,fcb307,200
e5fb6d,127.0.0.1,GET,http://localhost:8080/_fragment?_path=_format%3Dhtml%26_locale%3Den%26_controller%3DPetroPackVentaBundle%253AVenta%253AitemFormRemove,1491669292,fcb307,200
fcb307,127.0.0.1,GET,http://localhost:8080/backend/new,1491669292,,200
e282d2,127.0.0.1,GET,http://localhost:8080/_fragment?_path=_format%3Dhtml%26_locale%3Den%26_controller%3DPetroPackMenuBundle%253AMenu%253Aitems,1491669338,472ddc,200
d6010e,127.0.0.1,GET,http://localhost:8080/_fragment?_path=_format%3Dhtml%26_locale%3Den%26_controller%3DPetroPackVentaBundle%253AVenta%253AitemForm,1491669338,472ddc,200
65ff7b,127.0.0.1,GET,http://localhost:8080/_fragment?_path=_format%3Dhtml%26_locale%3Den%26_controller%3DPetroPackVentaBundle%253AVenta%253AitemFormRemove,1491669338,472ddc,200
472ddc,127.0.0.1,GET,http://localhost:8080/backend/new,1491669338,,200
c6252a,127.0.0.1,GET,http://localhost:8080/_fragment?_path=_format%3Dhtml%26_locale%3Den%26_controller%3DPetroPackMenuBundle%253AMenu%253Aitems,1491669340,fd28ed,200
fd423f,127.0.0.1,GET,http://localhost:8080/_fragment?_path=_format%3Dhtml%26_locale%3Den%26_controller%3DPetroPackVentaBundle%253AVenta%253AitemForm,1491669341,fd28ed,200
470457,127.0.0.1,GET,http://localhost:8080/_fragment?_path=_format%3Dhtml%26_locale%3Den%26_controller%3DPetroPackVentaBundle%253AVenta%253AitemFormRemove,1491669341,fd28ed,200
fd28ed,127.0.0.1,GET,http://localhost:8080/backend/new,1491669341,,200
40c567,127.0.0.1,GET,http://localhost:8080/_fragment?_path=_format%3Dhtml%26_locale%3Den%26_controller%3DPetroPackMenuBundle%253AMenu%253Aitems,1491669343,f25ab6,200
73a5fc,127.0.0.1,GET,http://localhost:8080/_fragment?_path=_format%3Dhtml%26_locale%3Den%26_controller%3DPetroPackPaginadoBundle%253APaginado%253Ashow,1491669343,f25ab6,200
f25ab6,127.0.0.1,GET,http://localhost:8080/backend/producto/list/page/0,1491669343,,200
085574,127.0.0.1,GET,http://localhost:8080/_fragment?_path=_format%3Dhtml%26_locale%3Den%26_controller%3DPetroPackMenuBundle%253AMenu%253Aitems,1491669346,5a35d9,200
5a35d9,127.0.0.1,GET,http://localhost:8080/backend/cliente/list,1491669346,,200
473385,127.0.0.1,POST,http://localhost:8080/backend/cliente/all,1491669347,,200
e3a594,127.0.0.1,GET,http://localhost:8080/_fragment?_path=_format%3Dhtml%26_locale%3Den%26_controller%3DPetroPackMenuBundle%253AMenu%253Aitems,1491669350,10ca82,200
852012,127.0.0.1,GET,http://localhost:8080/_fragment?_path=_format%3Dhtml%26_locale%3Den%26_controller%3DPetroPackPaginadoBundle%253APaginado%253Ashow,1491669350,10ca82,200
10ca82,127.0.0.1,GET,http://localhost:8080/backend/producto/list/page/0,1491669350,,200
968aaf,127.0.0.1,GET,http://localhost:8080/_fragment?_path=_format%3Dhtml%26_locale%3Den%26_controller%3DPetroPackMenuBundle%253AMenu%253Aitems,1491669353,32ad56,200
32ad56,127.0.0.1,GET,http://localhost:8080/backend/producto/edit/1529,1491669353,,200
6d5fe4,127.0.0.1,GET,http://localhost:8080/_fragment?_path=_format%3Dhtml%26_locale%3Den%26_controller%3DPetroPackMenuBundle%253AMenu%253Aitems,1491669358,4f742e,200
5e99e9,127.0.0.1,GET,http://localhost:8080/_fragment?_path=_format%3Dhtml%26_locale%3Den%26_controller%3DPetroPackVentaBundle%253AVenta%253AitemForm,1491669358,4f742e,200
d332a0,127.0.0.1,GET,http://localhost:8080/_fragment?_path=_format%3Dhtml%26_locale%3Den%26_controller%3DPetroPackVentaBundle%253AVenta%253AitemFormRemove,1491669358,4f742e,200
4f742e,127.0.0.1,GET,http://localhost:8080/backend/new,1491669358,,200
